chip_path,score,pbr
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c09115.png,2949,162.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c09115.png,4669,160.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c09115.png,2544,148.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c08859.png,5026,127.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c09115.png,1009,124.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c08091.png,4469,123.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c08091.png,3609,123.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c09115.png,889,119.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c08091.png,4215,118.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c08347.png,3934,114.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c08091.png,2461,113.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c08347.png,4060,112.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c08091.png,4258,111.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c08091.png,2638,111.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c08859.png,6351,110.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c08091.png,2965,110.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c08859.png,23114,107.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c08091.png,10969,102.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c08347.png,4353,102.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c08603.png,2982,97.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c08859.png,24313,96.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c08091.png,2367,96.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c08347.png,10194,95.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c08347.png,4103,95.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c08347.png,5322,93.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c08603.png,7522,91.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c08603.png,3205,91.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c08603.png,3344,90.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c08603.png,6278,89.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c08603.png,5870,89.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c08347.png,11656,88.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c08347.png,6145,88.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c08603.png,3110,87.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c08859.png,1205,85.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c09115.png,702,84.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c08859.png,1378,83.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c08859.png,1240,81.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c10139.png,1333,79.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c09115.png,634,78.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c09115.png,639,77.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c09115.png,580,77.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c08603.png,28776,76.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c08603.png,27193,74.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c08347.png,13905,74.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c08859.png,1487,69.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c08859.png,1389,65.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c10139.png,1380,63.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c09371.png,884,59.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c09883.png,1229,57.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c10139.png,1242,56.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c10139.png,1022,55.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c09883.png,860,53.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c09883.png,874,52.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c09883.png,796,52.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c10139.png,795,52.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c09883.png,1330,51.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c09371.png,995,51.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c10139.png,746,51.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c09627.png,838,50.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c10139.png,662,50.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01527_c09627.png,1126,49.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01783_c10139.png,775,49.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c09883.png,1138,48.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c09627.png,1113,47.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c09883.png,1191,45.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c09883.png,1158,45.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c09371.png,781,45.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c10139.png,553,44.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c09627.png,1062,43.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00247_c09371.png,1012,43.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c09371.png,744,43.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02039_c09627.png,712,43.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c09883.png,635,42.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c09627.png,949,41.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00503_c09371.png,882,41.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c09627.png,837,40.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r00759_c09371.png,774,40.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r02295_c09627.png,754,40.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01271_c09371.png,713,39.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c09627.png,784,38.0
/Volumes/Tejas SSD/datasets/s1_chips/ijmuiden/ijmuiden_r01015_c09371.png,690,38.0
