chip_path,score
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c11975.png,1993
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10951.png,1437
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10951.png,832
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10695.png,925
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10183.png,3132
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10439.png,8148
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10695.png,7475
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10439.png,3984
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10183.png,6536
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c11207.png,939
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10951.png,9945
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10183.png,6818
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10695.png,1711
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11463.png,878
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10439.png,6090
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10951.png,2077
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10183.png,4934
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10695.png,3419
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10439.png,3019
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10439.png,3769
