chip_path,score,pbr
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c11975.png,6851,188.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c11463.png,9100,179.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c11719.png,8018,179.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c11975.png,7141,178.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c11207.png,4817,173.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c11719.png,2221,161.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c11975.png,1993,161.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10951.png,1437,160.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c11975.png,1607,153.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10951.png,832,149.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c11719.png,14681,140.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10951.png,4800,137.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c11463.png,2366,137.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10695.png,925,134.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c10951.png,12880,133.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c10695.png,9177,133.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10183.png,3132,132.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c11719.png,20168,131.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c11207.png,19628,129.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10439.png,8148,128.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c11463.png,18830,126.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10695.png,7475,126.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10439.png,3984,126.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c10439.png,7681,124.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10183.png,6536,123.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c11207.png,939,123.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c11207.png,16700,121.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10951.png,9945,121.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c10183.png,6818,120.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10695.png,1711,119.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10695.png,5393,118.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c10183.png,5287,118.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c11463.png,25707,115.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11463.png,878,113.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10439.png,6090,109.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10951.png,2077,109.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c10183.png,4934,108.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10695.png,3419,108.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10439.png,3019,106.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10439.png,3769,105.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10183.png,4282,104.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10695.png,4912,103.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10183.png,4226,102.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c10439.png,6324,100.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c10439.png,4940,100.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10439.png,1638,100.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c10183.png,4400,98.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c10695.png,1914,97.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10183.png,4069,95.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c10695.png,1503,94.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c11207.png,2077,88.0
