chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c05422.png,2355,129.0,0.000267,1.3676
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c05678.png,2310,127.0,0.001179,1.2857
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c05934.png,2334,107.0,0.001049,1.1875
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c05166.png,2340,100.0,1.1e-05,1.1833
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c07982.png,2774,99.0,0.00214,1.15
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c06446.png,2139,111.0,0.000313,1.1471
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c05166.png,2250,115.0,0.000134,1.1429
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c06702.png,2438,104.0,0.001591,1.1429
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c07470.png,2359,92.0,0.000397,1.1429
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c07214.png,2234,94.0,0.00013,1.1379
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c07982.png,2775,99.0,0.00214,1.1311
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c07982.png,2254,99.0,0.000126,1.1311
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06898_c07470.png,2196,98.0,7.2e-05,1.1311
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c03886.png,2193,106.0,0.000679,1.1231
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c05934.png,2241,96.0,3.1e-05,1.1167
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c07470.png,2362,99.0,0.000496,1.1129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c06190.png,2546,88.0,0.005791,1.1071
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c05678.png,3728,91.0,0.017605,1.1053
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c04654.png,2155,90.0,0.000198,1.1053
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c04398.png,2389,95.0,0.000603,1.1017
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c05166.png,2240,93.0,9.5e-05,1.1017
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c06958.png,2495,96.0,0.002228,1.1
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c05678.png,2327,97.0,4e-06,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07154_c07214.png,2195,99.0,0.000118,1.0968
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c07214.png,2229,87.0,0.000675,1.0909
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c07470.png,2217,86.0,0.000286,1.0909
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c06446.png,2217,89.0,0.000984,1.0893
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c05166.png,2330,90.0,8e-06,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c06958.png,2373,89.0,0.002781,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c06190.png,2190,89.0,0.000526,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c04398.png,2320,88.0,0.000645,1.0877
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c07726.png,2328,93.0,0.0,1.0847
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c04142.png,2201,92.0,0.000637,1.0847
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c04398.png,2501,97.0,0.001656,1.082
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07666_c06958.png,2490,96.0,0.001625,1.082
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c06190.png,2621,95.0,0.006989,1.082
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c06958.png,2201,95.0,0.000324,1.082
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c03630.png,2726,98.0,0.007023,1.0806
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03058_c07214.png,2193,98.0,0.000603,1.0806
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07410_c06702.png,2183,101.0,0.000641,1.0781
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c06190.png,2140,101.0,8.4e-05,1.0781
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c06190.png,2160,99.0,0.000423,1.0781
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c07982.png,2282,86.0,6.9e-05,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c07214.png,2256,86.0,0.002941,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05106_c07726.png,2228,86.0,5e-05,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c06958.png,2607,85.0,0.007748,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c04910.png,3724,84.0,0.020756,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c05934.png,3032,87.0,0.012348,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c06190.png,2953,87.0,0.012211,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c07470.png,2264,87.0,9.9e-05,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c07726.png,2232,87.0,0.000362,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c03630.png,3368,86.0,0.014595,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c07214.png,2287,86.0,0.000179,1.0714
