chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c14961.png,4505,128.0,0.008541,1.7895
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c15217.png,4657,132.0,0.009464,1.6557
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c15217.png,4691,135.0,0.009148,1.6349
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c14961.png,4531,125.0,0.008865,1.5873
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c15217.png,3992,109.0,0.009033,1.3279
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c14449.png,3939,124.0,0.010029,1.3043
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c15217.png,3960,109.0,0.007793,1.2903
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c15473.png,3630,111.0,0.006668,1.2812
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c15473.png,3656,106.0,0.008373,1.2787
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c14193.png,4087,116.0,0.012718,1.2576
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c14961.png,3340,103.0,0.004436,1.2373
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c14961.png,2613,103.0,0.001709,1.2373
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c11633.png,2537,103.0,0.001137,1.2373
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c15217.png,2871,106.0,0.0023,1.2295
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c15729.png,3058,100.0,0.003284,1.2295
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c13681.png,2811,115.0,0.003922,1.2154
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c14449.png,3108,107.0,0.003029,1.2097
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c13937.png,2819,108.0,0.003948,1.2
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04958_c14193.png,2848,100.0,0.004982,1.2
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c13425.png,2768,100.0,0.004837,1.2
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c11889.png,2710,100.0,0.003197,1.2
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c14193.png,3862,105.0,0.013645,1.1935
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c11633.png,3596,105.0,0.005531,1.1875
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c15217.png,2594,100.0,0.001041,1.1864
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c15729.png,2518,90.0,0.000187,1.1818
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04958_c14449.png,2805,107.0,0.003777,1.1774
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c13425.png,2621,97.0,0.001408,1.1754
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c14705.png,2676,104.0,0.00293,1.1719
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c14961.png,2552,99.0,0.000854,1.1695
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c13937.png,2539,99.0,0.000713,1.1695
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c15217.png,2771,97.0,0.004841,1.1695
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c14961.png,2574,102.0,0.000782,1.1639
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c13169.png,2583,96.0,0.000729,1.1639
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c15473.png,2754,94.0,0.000896,1.1552
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c14449.png,2554,100.0,0.000961,1.15
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c15473.png,3391,99.0,0.013622,1.15
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c12913.png,3125,99.0,0.012886,1.15
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c12913.png,3067,99.0,0.012604,1.15
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c11377.png,3665,113.0,0.012413,1.1493
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c14193.png,2785,107.0,0.002705,1.1493
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c11889.png,3630,102.0,0.00462,1.1475
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c14961.png,3285,96.0,0.010555,1.1475
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c11377.png,3091,112.0,0.00629,1.1471
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c15473.png,2677,90.0,0.000641,1.1429
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c12657.png,2646,90.0,5.7e-05,1.1429
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c13937.png,2810,91.0,0.00626,1.1404
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c13937.png,2698,91.0,0.005638,1.1404
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09310_c14705.png,2677,91.0,0.005199,1.1404
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c13425.png,2908,106.0,0.007885,1.1385
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c15473.png,2795,93.0,0.000717,1.1379
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c13169.png,2647,93.0,0.003613,1.1379
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c13681.png,4216,110.0,0.018688,1.1364
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09566_c13681.png,2889,101.0,0.003773,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c13937.png,2530,96.0,0.002705,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09566_c14961.png,3899,93.0,0.012939,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c14961.png,3455,101.0,0.011887,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c14705.png,3376,101.0,0.011608,1.129
