epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,91.38,2.7191,3.27861,1.62389,0.12382,0.80284,0.77115,0.82325,0.41793,1.63195,1.16105,1.29248,0.04134,0.000663743,0.000663743,0.000663743
2,163.986,1.70543,1.338,1.21828,0.0538,0.84752,0.83512,0.87067,0.47966,1.42512,0.99289,1.16951,0.0253,0.00131724,0.00131724,0.00131724
3,234.008,1.59078,1.20593,1.17727,0.04353,0.83781,0.78765,0.84567,0.4318,1.53324,1.04642,1.16775,0.0255,0.00195753,0.00195753,0.00195753
4,304.984,1.56806,1.1825,1.17551,0.04134,0.88101,0.77693,0.85999,0.49896,1.35215,0.97629,1.13204,0.02432,0.0019406,0.0019406,0.0019406
5,376.591,1.50466,1.11843,1.1513,0.03848,0.8793,0.81215,0.88451,0.50666,1.32443,0.94415,1.1528,0.02397,0.0019208,0.0019208,0.0019208
6,449.195,1.45964,1.05452,1.13123,0.03486,0.88241,0.84074,0.90139,0.54712,1.25558,0.89761,1.08961,0.01868,0.001901,0.001901,0.001901
7,520.765,1.42937,1.04836,1.11393,0.03272,0.85451,0.81419,0.88334,0.51788,1.27947,0.93241,1.10977,0.01833,0.0018812,0.0018812,0.0018812
8,592.076,1.40085,1.01849,1.1078,0.03071,0.85775,0.83206,0.89004,0.53216,1.26426,0.87956,1.09526,0.01765,0.0018614,0.0018614,0.0018614
9,664.625,1.39099,1.0186,1.09816,0.03238,0.86149,0.79053,0.86192,0.50292,1.29267,0.93406,1.09625,0.0176,0.0018416,0.0018416,0.0018416
10,736.885,1.3908,1.03381,1.10004,0.02912,0.89377,0.84584,0.89897,0.55597,1.21521,0.8547,1.07542,0.01866,0.0018218,0.0018218,0.0018218
11,808.737,1.33675,0.98756,1.08655,0.02908,0.89467,0.81083,0.88513,0.54864,1.26815,0.86435,1.09403,0.01763,0.001802,0.001802,0.001802
12,877.899,1.33897,0.96455,1.07977,0.02913,0.90321,0.83357,0.91063,0.57966,1.18894,0.83806,1.04693,0.01663,0.0017822,0.0017822,0.0017822
13,947.778,1.34055,0.96289,1.07657,0.02826,0.89304,0.84074,0.91283,0.56854,1.16125,0.83095,1.05418,0.01573,0.0017624,0.0017624,0.0017624
14,1017.46,1.31398,0.94135,1.06382,0.0278,0.89848,0.84482,0.90466,0.5408,1.26509,0.83905,1.10606,0.01642,0.0017426,0.0017426,0.0017426
15,1086.26,1.33449,0.9579,1.07945,0.02816,0.8866,0.84208,0.90861,0.55121,1.20892,0.79856,1.0705,0.01583,0.0017228,0.0017228,0.0017228
16,1157.17,1.31688,0.94252,1.06768,0.02811,0.90629,0.84992,0.91723,0.57451,1.18145,0.79734,1.04352,0.01452,0.001703,0.001703,0.001703
17,1226.81,1.31869,0.94018,1.07402,0.02771,0.89392,0.84278,0.91737,0.55956,1.20208,0.79163,1.06271,0.01624,0.0016832,0.0016832,0.0016832
18,1297.33,1.28346,0.8998,1.04818,0.02573,0.89288,0.83818,0.90521,0.58363,1.13754,0.77524,1.0366,0.01409,0.0016634,0.0016634,0.0016634
19,1367.83,1.28869,0.90914,1.05419,0.02585,0.87786,0.84382,0.90423,0.57806,1.16908,0.79955,1.03898,0.01479,0.0016436,0.0016436,0.0016436
20,1437.51,1.27517,0.91483,1.05625,0.02549,0.88255,0.82471,0.89701,0.55802,1.19583,0.84026,1.03669,0.01406,0.0016238,0.0016238,0.0016238
21,1508.78,1.27414,0.90052,1.05564,0.02626,0.88373,0.85758,0.91692,0.58826,1.14009,0.77154,1.03321,0.01413,0.001604,0.001604,0.001604
22,1578.6,1.26642,0.90384,1.04101,0.02461,0.90453,0.86084,0.92468,0.59774,1.11698,0.74922,1.03026,0.01375,0.0015842,0.0015842,0.0015842
23,1649.46,1.25545,0.90893,1.04418,0.02356,0.8889,0.84954,0.91049,0.58406,1.13029,0.78186,1.01541,0.01494,0.0015644,0.0015644,0.0015644
24,1719.43,1.23778,0.88779,1.04682,0.02303,0.88937,0.86422,0.91493,0.57841,1.14199,0.77674,1.02991,0.01325,0.0015446,0.0015446,0.0015446
25,1789.49,1.24359,0.88889,1.03967,0.02273,0.87865,0.85554,0.91789,0.56937,1.19087,0.77992,1.04301,0.01565,0.0015248,0.0015248,0.0015248
26,1860.75,1.24299,0.87197,1.03913,0.02412,0.88459,0.86728,0.91788,0.56119,1.1853,0.77999,1.026,0.01315,0.001505,0.001505,0.001505
27,1930.23,1.2479,0.87254,1.04163,0.02393,0.89403,0.84839,0.90469,0.54503,1.24984,0.78996,1.05868,0.01645,0.0014852,0.0014852,0.0014852
28,2001.33,1.23368,0.85918,1.01764,0.02148,0.90222,0.86575,0.91497,0.56721,1.20291,0.76168,1.03235,0.01319,0.0014654,0.0014654,0.0014654
29,2072.35,1.23981,0.86059,1.03022,0.02452,0.88438,0.87698,0.92219,0.59067,1.13759,0.74434,1.02701,0.01408,0.0014456,0.0014456,0.0014456
30,2143.4,1.22862,0.85576,1.02572,0.02268,0.88396,0.87698,0.92272,0.59965,1.10833,0.72247,1.00819,0.013,0.0014258,0.0014258,0.0014258
31,2216.83,1.21864,0.85988,1.02887,0.02348,0.88646,0.86013,0.9178,0.58834,1.14734,0.75182,1.02825,0.01344,0.001406,0.001406,0.001406
32,2287.13,1.20868,0.8415,1.03257,0.02226,0.88377,0.87136,0.9193,0.59212,1.1321,0.73302,1.01869,0.01313,0.0013862,0.0013862,0.0013862
33,2357.08,1.19942,0.83106,1.01004,0.02109,0.90411,0.8711,0.92623,0.59071,1.1193,0.7205,1.00778,0.01273,0.0013664,0.0013664,0.0013664
34,2426.32,1.20088,0.82858,1.01626,0.02272,0.88925,0.86891,0.92599,0.60319,1.09787,0.736,1.01575,0.0129,0.0013466,0.0013466,0.0013466
35,2495.47,1.21452,0.83639,1.03608,0.02188,0.88412,0.88023,0.92343,0.60094,1.11129,0.71089,1.01199,0.01403,0.0013268,0.0013268,0.0013268
36,2565.35,1.2119,0.83075,1.01266,0.02276,0.87935,0.8831,0.93086,0.60653,1.10578,0.70717,1.01353,0.0121,0.001307,0.001307,0.001307
37,2634.06,1.20186,0.84265,1.02996,0.02213,0.89853,0.88719,0.9303,0.60432,1.13791,0.70735,1.02485,0.0133,0.0012872,0.0012872,0.0012872
38,2703.49,1.18747,0.82808,1.01235,0.02138,0.91106,0.88259,0.93228,0.61818,1.08155,0.70231,0.99975,0.01209,0.0012674,0.0012674,0.0012674
39,2773.78,1.18031,0.81883,1.00512,0.02026,0.89304,0.86983,0.92485,0.6163,1.09587,0.71155,1.02812,0.01342,0.0012476,0.0012476,0.0012476
40,2842.29,1.18535,0.82581,1.01484,0.02283,0.89946,0.878,0.92825,0.60803,1.0812,0.69223,0.99789,0.01233,0.0012278,0.0012278,0.0012278
41,2914.52,1.18527,0.82226,1.0113,0.02181,0.88549,0.85043,0.91053,0.58073,1.14978,0.72981,1.02192,0.01232,0.001208,0.001208,0.001208
